246;1;0;2;0;1;1;22;1;0;1;0;8;1;1;1;3;8;0;0;1;0;1;1;0;0;
10;228;7;12;5;2;4;2;1;1;0;1;0;2;3;1;3;10;4;0;1;0;0;0;0;3;
0;3;226;2;20;2;3;0;1;0;0;13;0;0;12;3;2;3;5;0;5;0;0;0;0;0;
3;15;0;225;0;1;0;0;0;16;0;0;1;0;5;7;9;0;0;0;7;0;8;0;1;2;
1;3;26;0;234;11;5;0;0;2;1;1;0;0;0;0;0;9;5;0;1;0;0;0;0;1;
1;1;1;0;8;244;4;1;2;2;0;2;0;0;0;14;1;2;2;6;0;0;0;4;5;0;
0;4;12;0;2;1;261;2;0;2;1;0;0;0;0;0;8;0;3;0;0;1;1;2;0;0;
24;2;0;0;0;1;0;220;1;2;1;1;8;16;1;0;2;2;0;1;5;0;1;2;9;1;
0;2;1;0;0;2;0;1;276;3;0;2;0;2;0;2;0;0;0;3;0;2;0;0;1;3;
0;2;0;2;1;3;0;0;2;276;0;0;0;2;0;0;0;0;6;3;0;0;0;0;3;0;
1;0;0;0;0;2;3;6;0;0;270;1;1;0;0;0;0;1;0;0;1;0;0;13;0;1;
2;1;10;0;2;1;2;1;5;7;6;233;0;2;0;0;0;3;0;0;4;4;0;6;4;7;
10;0;0;0;0;0;0;7;1;0;0;0;267;5;0;0;0;2;0;1;1;0;3;0;3;0;
5;1;0;4;0;0;0;10;1;2;0;1;3;253;0;1;0;0;0;0;3;6;10;0;0;0;
0;1;4;28;2;0;0;2;20;0;0;0;0;0;231;0;0;0;0;0;7;5;0;0;0;0;
3;0;2;4;0;6;0;1;2;0;0;0;0;1;0;264;3;1;0;5;0;2;0;0;6;0;
0;4;2;0;1;0;6;2;0;0;0;0;0;1;2;3;276;2;0;0;0;0;0;0;0;1;
11;2;4;0;7;7;2;1;0;0;4;9;0;3;2;2;0;244;1;0;0;0;0;0;0;1;
0;4;5;1;18;6;2;0;0;5;0;0;0;0;6;0;1;0;239;0;5;6;0;0;1;1;
0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;3;0;0;0;287;0;0;0;0;2;0;
2;0;6;5;0;0;0;5;1;4;0;3;4;3;11;0;0;0;4;0;227;19;4;2;0;0;
0;0;1;0;0;0;1;9;0;2;0;0;0;1;0;0;0;0;0;1;11;210;15;3;46;0;
0;1;0;0;0;0;0;16;0;0;1;0;6;3;0;0;2;0;0;0;8;6;254;3;0;0;
0;1;0;0;0;0;0;0;0;0;7;0;1;0;0;0;1;0;0;0;0;0;0;283;6;1;
0;1;0;0;0;2;0;4;1;2;0;0;0;0;0;1;1;0;0;1;0;19;2;36;230;0;
1;0;1;1;1;2;0;0;0;1;2;0;0;0;0;0;0;0;1;0;1;0;0;1;0;288;
