1;3.26778079;0
2;3.26427786;0
3;3.26561486;0
4;3.26490807;0
5;3.26373442;0
6;3.26360950;0
7;3.26349752;0
8;3.26113449;0
9;3.25896819;0
10;3.25897367;0
11;3.25815135;0
12;3.25799252;0
13;3.25795087;0
14;3.25769073;0
15;3.25767732;0
16;3.25767090;0
17;3.25761603;0
18;3.25761200;0
19;3.25761277;0
20;3.25760250;0
21;3.25760158;0
22;3.25760154;0
23;3.25759974;0
24;3.25759959;0
25;3.25759969;0
26;3.25759909;0
27;3.25759913;0
28;3.25759911;0
29;3.25759902;0
30;3.25759902;0
31;3.25759902;0
32;0;0.03980769
