231;3;0;2;0;2;1;22;0;0;1;1;8;5;2;4;2;11;0;0;2;0;2;0;1;0;
6;226;5;11;7;1;2;3;0;0;1;1;2;3;3;2;3;12;3;0;2;1;0;0;2;4;
0;5;222;2;14;1;7;0;1;0;0;18;0;0;13;3;0;1;7;0;6;0;0;0;0;0;
2;16;0;222;0;1;3;4;2;2;0;0;1;4;3;5;10;0;0;0;16;0;8;0;1;0;
0;2;25;0;223;17;7;0;0;2;0;1;0;0;1;0;0;4;12;2;2;0;0;0;0;2;
0;0;1;1;8;243;3;2;1;3;2;2;0;1;0;10;1;1;6;9;0;1;0;2;3;0;
0;5;7;0;4;2;257;1;0;2;0;1;0;0;0;0;10;1;5;0;0;1;1;3;0;0;
21;2;0;0;1;3;0;220;2;1;2;2;7;13;0;0;3;3;0;1;8;1;2;0;7;1;
0;3;0;0;2;3;0;1;262;3;0;5;0;2;2;2;0;0;0;6;1;4;0;0;2;2;
0;2;0;2;2;5;2;0;5;266;0;2;0;1;0;0;0;0;4;5;1;0;0;0;2;1;
1;3;0;0;0;2;0;5;0;0;275;1;3;0;0;0;0;4;0;0;0;0;0;6;0;0;
3;2;13;0;3;1;3;3;7;4;8;226;0;0;0;0;0;2;0;0;10;2;0;7;3;3;
15;0;0;0;0;0;0;4;1;0;1;0;268;7;0;0;0;0;0;0;1;1;2;0;0;0;
8;0;0;4;0;0;0;12;2;3;0;0;4;247;0;1;0;3;0;0;2;9;5;0;0;0;
4;1;6;23;2;0;0;2;15;0;0;0;0;1;234;0;0;1;0;1;5;5;0;0;0;0;
3;0;2;3;0;9;0;1;4;1;0;0;0;0;0;262;2;0;0;4;0;3;0;0;6;0;
0;2;1;1;1;2;10;2;0;0;0;0;0;0;1;3;271;3;1;0;0;0;1;0;0;1;
20;7;4;0;5;6;2;1;0;0;3;5;0;5;2;2;0;233;1;0;1;0;0;1;0;2;
1;4;6;0;24;4;3;1;1;3;0;0;0;0;7;0;0;0;230;1;6;6;0;0;1;2;
0;0;0;0;0;2;0;0;1;7;1;0;0;1;0;5;0;0;0;277;0;0;0;1;5;0;
1;1;5;6;1;0;0;2;0;3;0;6;5;3;9;0;0;2;3;0;220;24;8;1;0;0;
0;0;0;0;0;1;0;8;0;5;0;0;0;1;0;0;1;0;0;1;12;203;7;5;56;0;
0;0;0;0;0;0;0;17;0;0;0;0;6;7;0;0;3;0;0;0;2;8;253;2;0;2;
0;1;0;0;0;0;0;3;0;0;8;0;1;0;0;1;1;1;0;0;0;0;0;276;5;3;
0;0;0;0;0;1;0;5;1;3;3;0;0;0;0;2;2;0;1;1;1;8;1;41;230;0;
1;3;1;1;2;1;1;0;0;0;5;1;0;0;0;1;0;1;0;0;4;0;0;1;0;277;
